"","Data","sp500","uk100","dax","nikkei","wig20","logReturnSP500","logReturnUK100","logReturnDax","logReturnNikkei","logReturnWig20"
"1","2010-01-04",1132.99,NA,8716.38564634674,115.31158008658,864.634103208008,NA,NA,NA,NA,NA
"2","2010-01-05",1136.52,NA,8662.73158121499,116.461295246402,866.214029409695,0.00311080616228487,NA,-0.00617456397739957,0.00992113152657126,0.00182560978137758
"3","2010-01-06",1137.14,NA,8688.74010079194,116.216699155296,869.918384577499,0.000545376191134928,NA,0.00299784819777926,-0.00210244360953737,0.00426737126668186
"4","2010-01-07",1141.69,NA,8610.15591474753,114.132492787691,848.771990942345,0.00399328255842324,NA,-0.00908551927763668,-0.0180965535725761,-0.0246088080808819
"5","2010-01-08",1144.98,NA,8693.46292296616,116.549595250944,863.254333215423,0.00287754881130908,NA,0.00962892822114014,0.0209569017468363,0.0169187675736939
"6","2010-01-11",1146.98,NA,8765.78145407053,NA,883.392857142857,0.00174523159884021,NA,0.00828431553430065,NA,0.0230606575761358
"7","2010-01-12",1136.22,NA,8611.79539197218,119.393546971027,871.086051723525,-0.00942543768284931,NA,-0.0177228498563515,NA,-0.0140292450462711
"8","2010-01-13",1145.68,NA,8645.99101058431,117.489657436795,880.674286123751,0.00829138366757842,NA,0.00396292578519208,-0.0160748461336491,0.0109470798558737
"9","2010-01-14",1148.46,NA,8682.05276891853,119.536219178082,878.59395155511,0.00242356731562676,NA,0.00416224830167522,0.0172691069100415,-0.0023650009631675
"10","2010-01-15",1136.03,NA,8452.20080552359,121.001542529749,866.737641506086,-0.01088218610297,NA,-0.0268311370113743,0.0121838788896245,-0.013586521299227
"11","2010-01-18",NA,NA,8513.44936708861,119.747159404302,883.936894944425,NA,NA,0.00722033367799213,-0.0104207787352175,0.0196493482462676
"12","2010-01-19",1150.23,NA,8539.04843549078,118.139815627744,888.127006778452,NA,NA,0.00300238568312849,-0.0135137137072965,0.00472908413630524
"13","2010-01-20",1138.04,NA,8254.38002539145,117.65855796625,867.888021196486,-0.010654437906525,NA,-0.0339056055454705,-0.00408194783022608,-0.023052059916413
"14","2010-01-21",1116.48,NA,8094.32394366197,120.212476495963,852.605604638321,-0.0191266054550274,NA,-0.0195809032873342,0.0214739610953538,-0.0177656206057621
"15","2010-01-22",1091.76,NA,8049.9222614841,117.921723638793,837.168387747297,-0.022389806068551,NA,-0.00550063391856703,-0.0192397691653827,-0.0182718475344421
"16","2010-01-25",1096.78,NA,7966.28943273447,116.497007978723,840.32600006951,0.00458754128692718,NA,-0.0104436168167155,-0.0121554552625698,0.00376468150892517
"17","2010-01-26",1092.17,NA,7979.91272522523,115.211783084133,827.607234425889,-0.00421207137276625,NA,0.00170865710471269,-0.0110935633422864,-0.0152512245832543
"18","2010-01-27",1097.5,NA,7919.169239405,113.937319404312,814.261698915878,0.00486832310530705,NA,-0.00764116840329088,-0.0111235593516685,-0.0162568755124743
"19","2010-01-28",1084.53,NA,7734.65028619294,115.868825100134,808.917873403855,-0.0118881525477086,NA,-0.0235760351761556,0.0168102657509248,-0.00658441605565674
"20","2010-01-29",1073.87,NA,7774.8683116163,112.985153999557,819.649798754687,-0.00987776748962244,NA,0.00518624937526724,-0.0252023036005902,0.0131797786292154
"21","2010-02-01",1089.19,NA,7877.51462803009,112.514002205072,826.344499615358,0.0141653547951508,NA,0.0131159310765305,-0.00417875160171732,0.00813458197728867
"22","2010-02-02",1103.32,NA,7974.38547486034,114.762531813655,834.041731066461,0.0128895153306878,NA,0.0122221376723672,0.0197873747382138,0.00927168203306561
"23","2010-02-03",1097.28,NA,7878.99708292818,114.383575197889,828.422003683497,-0.00548942576327871,NA,-0.0120339672283425,-0.00330755748974365,-0.0067607475229492
"24","2010-02-04",1063.11,NA,7595.38778311599,116.202648114901,772.43360140569,-0.03163581557141,NA,-0.0366594296005918,0.015778138249984,-0.0699766386290817
"25","2010-02-05",1066.19,NA,7432.08424507659,112.709738877059,729.670000996976,0.00289297153817358,NA,-0.0217348555301964,-0.0305198019598727,-0.0569536736981648
"26","2010-02-08",1056.74,NA,7489.89485183668,111.492493838225,733.033113469716,-0.00890284881529979,NA,0.00774842205858306,-0.0108585626855824,0.00459849762523934
"27","2010-02-09",1070.52,NA,7583.80689655173,110.599042422893,748.107062894362,0.0129558142876736,NA,0.0124605437184773,-0.00804583776765622,0.0203552238118316
"28","2010-02-10",1068.13,NA,7603.85935997803,110.760226767452,749.805368445994,-0.00223505575473482,NA,0.00264062624758665,0.00145631464755347,0.00226756416970897
"29","2010-02-11",1078.47,NA,7534.46954140999,NA,741.622304122304,0.00963391407168679,NA,-0.00916749860528299,NA,-0.0109735746367567
"30","2010-02-12",1075.51,NA,7496.78342646858,112.222728789058,751.376177886245,-0.00274840236515672,NA,-0.00501437824070372,NA,0.0130663395223767
"31","2010-02-15",NA,NA,7494.01686157193,111.209462461128,762.570039829879,NA,NA,-0.000369101699028818,-0.00907007417971961,0.0147879307786205
"32","2010-02-16",1094.87,NA,7694.16620803522,111.244456762749,774.575450489399,NA,NA,0.0263574560102899,0.000314620682178024,0.0156207136550863
"33","2010-02-17",1099.51,NA,7681.68094655243,113.063075910487,781.345659989728,0.00422899125519383,NA,-0.00162400992951284,0.0162157639249312,0.00870256490892274
"34","2010-02-18",1106.75,NA,7662.76811007689,112.332246494946,766.037029473827,0.0065631666155932,NA,-0.00246510591330029,-0.00648489035991684,-0.0197871284198818
