Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2010-06-21,90.43,91.46,90.3,91.02
2010-06-22,91.02,91.09,90.33,90.5
2010-06-23,90.5,90.58,89.72,89.92
2010-06-24,89.92,89.96,89.22,89.59
2010-06-25,89.6,89.76,89.2,89.22
2010-06-28,89.31,89.46,89.06,89.36
2010-06-29,89.36,89.41,88.28,88.53
2010-06-30,88.54,88.75,88.36,88.39
2010-07-01,88.4,88.55,86.95,87.74
2010-07-02,87.75,88.2,87.33,87.76
2010-07-05,87.73,88,87.62,87.76
2010-07-06,87.75,87.97,87.34,87.57
2010-07-07,87.57,87.79,87.02,87.75
2010-07-08,87.76,88.62,87.66,88.42
2010-07-09,88.44,88.69,88.37,88.6
2010-07-12,88.68,89.15,88.39,88.63
2010-07-13,88.64,88.85,88.02,88.67
2010-07-14,88.66,89.1,88.08,88.4
2010-07-15,88.39,88.39,87.23,87.37
2010-07-16,87.38,87.5,86.26,86.56
2010-07-19,86.61,87.21,86.47,86.77
2010-07-20,86.75,87.56,86.69,87.44
2010-07-21,87.43,87.43,86.88,86.97
2010-07-22,86.96,87.2,86.34,87.04
2010-07-23,87.03,87.49,86.73,87.39
2010-07-26,87.55,87.71,86.82,86.97
2010-07-27,86.97,87.97,86.83,87.85
2010-07-28,87.85,88.11,87.27,87.36
2010-07-29,87.39,87.51,86.56,86.89
2010-07-30,86.88,86.91,85.94,86.43
2010-08-02,86.41,86.87,86.32,86.42
2010-08-03,86.43,86.64,85.68,85.82
2010-08-04,85.81,86.37,85.32,86.32
2010-08-05,86.31,86.44,85.7,85.85
2010-08-06,85.84,86.17,85.02,85.48
2010-08-09,85.373,85.97,85.298,85.924
2010-08-10,85.925,86.183,85.182,85.32
2010-08-11,85.317,85.455,84.722,85.252
2010-08-12,85.25,85.978,84.926,85.864
2010-08-13,85.878,86.346,85.562,86.19
2010-08-16,86.223,86.225,85.206,85.332
2010-08-17,85.331,85.67,85.106,85.559
2010-08-18,85.558,85.673,85.19,85.384
2010-08-19,85.394,85.905,84.882,85.292
2010-08-20,85.292,85.815,85.19,85.566
2010-08-23,85.596,85.656,85.06,85.098
2010-08-24,85.103,85.185,83.585,84.139
